id;quarter_number;start_date;end_date;fiscal_quarter_code;fiscal_year_id
1;11584;2023-08-15;2023-08-15;apropos lest french;1
2;32007;2023-08-15;2023-08-16;woot censor;2
3;29902;2023-08-16;2023-08-15;unlearn;3
4;27906;2023-08-16;2023-08-16;reschedule somber;4
5;26334;2023-08-15;2023-08-16;wherever;5
6;7869;2023-08-15;2023-08-16;except;6
7;26146;2023-08-15;2023-08-16;despite with waver;7
8;5708;2023-08-16;2023-08-16;jubilantly place;8
9;21277;2023-08-15;2023-08-16;boo;9
10;15645;2023-08-15;2023-08-16;respray dispose;10
