id;fiscal_year_code;start_date;end_date;fiscal_year_status
1;meanwhile;2023-08-15;2023-08-15;CLOSED
2;until sense;2023-08-16;2023-08-15;CLOSED
3;pish;2023-08-16;2023-08-15;IN_PROGRESS
4;psst;2023-08-15;2023-08-16;CLOSED
5;forenenst westernize;2023-08-15;2023-08-16;CLOSED
6;busily patiently;2023-08-15;2023-08-15;IN_PROGRESS
7;lovely telescope;2023-08-15;2023-08-16;OPEN
8;rigidly beyond;2023-08-15;2023-08-15;OPEN
9;whisper joyful ack;2023-08-15;2023-08-15;IN_PROGRESS
10;wide;2023-08-16;2023-08-15;CLOSED
